participant_code,organization_code,role_group,experience_group,company_size_group,delivery_approach,synthetic_record,governance_accountability_answered,governance_accountability_score,risk_identification_answered,risk_identification_score,assessment_prioritization_answered,assessment_prioritization_score,risk_treatment_answered,risk_treatment_score,monitoring_review_answered,monitoring_review_score,training_risk_culture_answered,training_risk_culture_score,learning_continuous_improvement_answered,learning_continuous_improvement_score,access_control_effectiveness_answered,access_control_effectiveness_score,source_code_protection_answered,source_code_protection_score,development_traceability_answered,development_traceability_score,risk_dimensions_answered,risk_management_maturity,access_control_effectiveness,source_code_protection,development_traceability
SYN_ANALYSIS_P020,SYN_ANALYSIS_ORG_03,Information security,More than 10 years,250 or more,Agile,true,2,2.0000,2,1.5000,2,2.5000,2,1.5000,2,2.0000,2,2.0000,2,2.0000,6,2.3333,6,1.6667,6,2.5000,7,1.9286,2.3333,1.6667,2.5000
SYN_ANALYSIS_P021,SYN_ANALYSIS_ORG_03,Software development,Less than 2 years,250 or more,DevOps or continuous delivery,true,2,2.0000,2,2.5000,2,2.5000,2,2.5000,2,3.0000,2,2.5000,2,2.0000,6,2.8333,6,2.8333,6,2.0000,7,2.4286,2.8333,2.8333,2.0000
SYN_ANALYSIS_P022,SYN_ANALYSIS_ORG_03,Technical leadership,2 to 5 years,250 or more,Hybrid,true,2,2.5000,2,2.0000,2,2.0000,2,2.5000,2,3.5000,2,2.0000,2,3.0000,6,3.1667,6,2.3333,6,2.8333,7,2.5000,3.1667,2.3333,2.8333
SYN_ANALYSIS_P023,SYN_ANALYSIS_ORG_03,DevOps or platform,6 to 10 years,250 or more,Agile,true,2,2.5000,2,1.0000,2,2.0000,2,1.0000,2,2.0000,2,1.5000,2,1.0000,6,2.1667,6,2.3333,6,1.8333,7,1.5714,2.1667,2.3333,1.8333
SYN_ANALYSIS_P024,SYN_ANALYSIS_ORG_03,Quality or testing,More than 10 years,250 or more,DevOps or continuous delivery,true,2,2.0000,2,4.0000,2,3.0000,2,3.5000,2,3.0000,2,3.0000,2,4.0000,6,3.6667,6,2.8333,6,3.3333,7,3.2143,3.6667,2.8333,3.3333
SYN_ANALYSIS_P025,SYN_ANALYSIS_ORG_04,Information security,Less than 2 years,1 to 49,DevOps or continuous delivery,true,2,4.0000,2,4.0000,2,3.5000,2,3.5000,2,3.5000,2,3.5000,2,3.0000,6,2.8333,6,3.0000,6,3.1667,7,3.5714,2.8333,3.0000,3.1667
SYN_ANALYSIS_P026,SYN_ANALYSIS_ORG_04,Software development,2 to 5 years,1 to 49,Hybrid,true,2,2.5000,2,3.0000,2,4.0000,2,2.0000,2,3.0000,2,4.0000,2,3.5000,6,3.0000,6,3.1667,6,3.1667,7,3.1429,3.0000,3.1667,3.1667
SYN_ANALYSIS_P027,SYN_ANALYSIS_ORG_04,Technical leadership,6 to 10 years,1 to 49,Agile,true,2,2.0000,2,2.0000,2,2.5000,2,2.5000,2,2.0000,2,2.5000,2,3.0000,6,2.5000,6,1.6667,6,2.1667,7,2.3571,2.5000,1.6667,2.1667
SYN_ANALYSIS_P028,SYN_ANALYSIS_ORG_04,DevOps or platform,More than 10 years,1 to 49,DevOps or continuous delivery,true,2,3.0000,2,3.0000,2,1.5000,2,2.5000,2,3.0000,2,3.5000,2,2.5000,6,3.3333,6,2.5000,6,3.3333,7,2.7143,3.3333,2.5000,3.3333
SYN_ANALYSIS_P029,SYN_ANALYSIS_ORG_04,Quality or testing,Less than 2 years,1 to 49,Hybrid,true,2,4.0000,2,2.5000,2,3.5000,2,3.0000,2,2.0000,2,3.0000,2,3.0000,6,3.5000,6,2.3333,6,3.3333,7,3.0000,3.5000,2.3333,3.3333
SYN_ANALYSIS_P030,SYN_ANALYSIS_ORG_04,Information security,2 to 5 years,1 to 49,Agile,true,2,2.5000,2,3.0000,2,3.0000,2,2.0000,2,2.5000,2,2.5000,2,2.5000,6,3.6667,6,2.8333,6,3.1667,7,2.5714,3.6667,2.8333,3.1667
SYN_ANALYSIS_P031,SYN_ANALYSIS_ORG_04,Software development,6 to 10 years,1 to 49,DevOps or continuous delivery,true,2,3.5000,2,3.0000,2,4.0000,2,4.0000,2,3.0000,2,3.5000,2,3.5000,6,3.3333,6,2.3333,6,3.1667,7,3.5000,3.3333,2.3333,3.1667
SYN_ANALYSIS_P032,SYN_ANALYSIS_ORG_04,Technical leadership,More than 10 years,1 to 49,Hybrid,true,2,3.5000,2,2.5000,2,3.0000,2,3.0000,2,3.0000,2,3.0000,2,3.5000,6,2.8333,6,3.1667,6,3.3333,7,3.0714,2.8333,3.1667,3.3333
SYN_ANALYSIS_P033,SYN_ANALYSIS_ORG_05,DevOps or platform,Less than 2 years,50 to 249,Hybrid,true,2,2.0000,2,2.0000,2,3.0000,2,3.0000,2,1.5000,2,2.0000,2,1.5000,6,2.6667,6,1.8333,6,2.3333,7,2.1429,2.6667,1.8333,2.3333
SYN_ANALYSIS_P034,SYN_ANALYSIS_ORG_05,Quality or testing,2 to 5 years,50 to 249,Agile,true,2,2.5000,2,1.0000,2,2.0000,2,1.5000,2,2.0000,2,1.5000,2,2.0000,6,2.0000,6,2.3333,6,2.0000,7,1.7857,2.0000,2.3333,2.0000
SYN_ANALYSIS_P035,SYN_ANALYSIS_ORG_05,Information security,6 to 10 years,50 to 249,DevOps or continuous delivery,true,2,3.5000,2,4.0000,2,3.5000,2,4.5000,2,4.5000,2,3.0000,2,3.5000,6,3.8333,6,2.8333,6,3.8333,7,3.7857,3.8333,2.8333,3.8333
SYN_ANALYSIS_P036,SYN_ANALYSIS_ORG_05,Software development,More than 10 years,50 to 249,Hybrid,true,2,3.5000,2,3.0000,2,4.0000,2,3.5000,2,4.0000,2,3.5000,2,3.5000,6,4.0000,6,3.1667,6,3.0000,7,3.5714,4.0000,3.1667,3.0000
SYN_ANALYSIS_P037,SYN_ANALYSIS_ORG_05,Technical leadership,Less than 2 years,50 to 249,Agile,true,2,2.5000,2,2.5000,2,3.5000,2,3.0000,2,2.5000,2,3.0000,2,3.0000,6,2.6667,6,3.1667,6,3.6667,7,2.8571,2.6667,3.1667,3.6667
SYN_ANALYSIS_P038,SYN_ANALYSIS_ORG_05,DevOps or platform,2 to 5 years,50 to 249,DevOps or continuous delivery,true,2,2.5000,2,2.5000,2,2.5000,2,3.5000,2,3.0000,2,3.0000,2,3.0000,6,2.8333,6,3.0000,6,2.3333,7,2.8571,2.8333,3.0000,2.3333
SYN_ANALYSIS_P039,SYN_ANALYSIS_ORG_05,Quality or testing,6 to 10 years,50 to 249,Hybrid,true,2,4.0000,2,3.5000,2,3.5000,2,3.5000,2,3.0000,2,3.5000,2,4.0000,6,3.5000,6,3.8333,6,3.5000,7,3.5714,3.5000,3.8333,3.5000
SYN_ANALYSIS_P040,SYN_ANALYSIS_ORG_05,Information security,More than 10 years,50 to 249,Agile,true,2,3.5000,2,3.0000,2,2.0000,2,2.0000,2,3.0000,2,2.0000,2,2.5000,6,2.6667,6,2.6667,6,2.8333,7,2.5714,2.6667,2.6667,2.8333
SYN_ANALYSIS_P041,SYN_ANALYSIS_ORG_06,Software development,Less than 2 years,250 or more,Agile,true,2,3.5000,2,3.0000,2,3.5000,2,4.0000,2,4.0000,2,3.0000,2,4.5000,6,3.8333,6,3.0000,6,2.6667,7,3.6429,3.8333,3.0000,2.6667
SYN_ANALYSIS_P042,SYN_ANALYSIS_ORG_06,Technical leadership,2 to 5 years,250 or more,DevOps or continuous delivery,true,2,4.0000,2,4.0000,2,4.0000,2,4.5000,2,4.0000,2,3.5000,2,3.0000,6,4.3333,6,3.1667,6,3.6667,7,3.8571,4.3333,3.1667,3.6667
SYN_ANALYSIS_P043,SYN_ANALYSIS_ORG_06,DevOps or platform,6 to 10 years,250 or more,Hybrid,true,2,3.5000,2,3.5000,2,4.0000,2,3.0000,2,3.0000,2,3.0000,2,3.5000,6,3.1667,6,3.5000,6,3.0000,7,3.3571,3.1667,3.5000,3.0000
SYN_ANALYSIS_P044,SYN_ANALYSIS_ORG_06,Quality or testing,More than 10 years,250 or more,Agile,true,2,3.5000,2,4.0000,2,4.0000,2,3.0000,2,4.5000,2,5.0000,2,3.5000,6,4.1667,6,3.3333,6,3.5000,7,3.9286,4.1667,3.3333,3.5000
SYN_ANALYSIS_P045,SYN_ANALYSIS_ORG_06,Information security,Less than 2 years,250 or more,DevOps or continuous delivery,true,2,3.0000,2,3.5000,2,3.5000,2,3.0000,2,4.0000,2,3.5000,2,3.0000,6,3.1667,6,2.6667,6,3.1667,7,3.3571,3.1667,2.6667,3.1667
SYN_ANALYSIS_P046,SYN_ANALYSIS_ORG_06,Software development,2 to 5 years,250 or more,Hybrid,true,2,3.0000,2,3.0000,2,3.0000,2,2.5000,2,3.5000,2,3.0000,2,3.0000,6,2.8333,6,2.8333,6,3.3333,7,3.0000,2.8333,2.8333,3.3333
SYN_ANALYSIS_P047,SYN_ANALYSIS_ORG_06,Technical leadership,6 to 10 years,250 or more,Agile,true,2,4.0000,2,3.0000,2,3.5000,2,2.5000,2,3.5000,2,3.5000,2,4.0000,6,3.1667,6,3.6667,6,3.0000,7,3.4286,3.1667,3.6667,3.0000
SYN_ANALYSIS_P048,SYN_ANALYSIS_ORG_06,DevOps or platform,More than 10 years,250 or more,DevOps or continuous delivery,true,2,4.0000,2,3.5000,2,3.0000,2,3.5000,2,3.5000,2,3.0000,2,3.5000,6,3.6667,6,2.1667,6,3.5000,7,3.4286,3.6667,2.1667,3.5000
SYN_ANALYSIS_P049,SYN_ANALYSIS_ORG_07,Quality or testing,Less than 2 years,1 to 49,DevOps or continuous delivery,true,2,3.0000,2,4.0000,2,3.5000,2,4.0000,2,3.5000,2,3.5000,2,3.0000,6,3.0000,6,3.6667,6,3.3333,7,3.5000,3.0000,3.6667,3.3333
SYN_ANALYSIS_P050,SYN_ANALYSIS_ORG_07,Information security,2 to 5 years,1 to 49,Hybrid,true,2,4.0000,2,4.0000,2,3.5000,2,4.0000,2,4.0000,2,4.0000,2,3.5000,6,3.5000,6,2.8333,6,4.0000,7,3.8571,3.5000,2.8333,4.0000
SYN_ANALYSIS_P051,SYN_ANALYSIS_ORG_07,Software development,6 to 10 years,1 to 49,Agile,true,2,3.0000,2,3.0000,2,3.0000,2,3.0000,2,3.5000,2,2.5000,2,4.0000,6,3.6667,6,3.0000,6,3.6667,7,3.1429,3.6667,3.0000,3.6667
SYN_ANALYSIS_P052,SYN_ANALYSIS_ORG_07,Technical leadership,More than 10 years,1 to 49,DevOps or continuous delivery,true,2,3.5000,2,3.5000,2,4.0000,2,4.5000,2,4.5000,2,3.5000,2,3.5000,6,4.1667,6,2.8333,6,3.5000,7,3.8571,4.1667,2.8333,3.5000
SYN_ANALYSIS_P053,SYN_ANALYSIS_ORG_07,DevOps or platform,Less than 2 years,1 to 49,Hybrid,true,2,4.5000,2,3.5000,2,3.5000,2,3.5000,2,4.0000,2,3.5000,2,4.0000,6,2.8333,6,3.3333,6,3.5000,7,3.7857,2.8333,3.3333,3.5000
SYN_ANALYSIS_P054,SYN_ANALYSIS_ORG_07,Quality or testing,2 to 5 years,1 to 49,Agile,true,2,3.0000,2,3.0000,2,3.0000,2,3.5000,2,4.0000,2,2.0000,2,3.0000,6,2.6667,6,2.0000,6,3.0000,7,3.0714,2.6667,2.0000,3.0000
SYN_ANALYSIS_P055,SYN_ANALYSIS_ORG_07,Information security,6 to 10 years,1 to 49,DevOps or continuous delivery,true,2,5.0000,2,5.0000,2,4.5000,2,4.5000,2,5.0000,2,3.5000,2,4.5000,6,4.0000,6,3.3333,6,3.6667,7,4.5714,4.0000,3.3333,3.6667
SYN_ANALYSIS_P056,SYN_ANALYSIS_ORG_07,Software development,More than 10 years,1 to 49,Hybrid,true,2,5.0000,2,4.5000,2,4.5000,2,5.0000,2,4.5000,2,4.5000,2,4.0000,6,4.1667,6,4.0000,6,4.6667,7,4.5714,4.1667,4.0000,4.6667
SYN_ANALYSIS_P057,SYN_ANALYSIS_ORG_08,Technical leadership,Less than 2 years,50 to 249,Hybrid,true,2,3.0000,2,4.5000,2,3.5000,2,3.5000,2,4.0000,2,3.5000,2,3.5000,6,4.0000,6,2.8333,6,4.0000,7,3.6429,4.0000,2.8333,4.0000
SYN_ANALYSIS_P058,SYN_ANALYSIS_ORG_08,DevOps or platform,2 to 5 years,50 to 249,Agile,true,2,4.5000,2,4.0000,2,4.5000,2,4.5000,2,5.0000,2,5.0000,2,4.5000,6,3.3333,6,3.3333,6,4.0000,7,4.5714,3.3333,3.3333,4.0000
SYN_ANALYSIS_P059,SYN_ANALYSIS_ORG_08,Quality or testing,6 to 10 years,50 to 249,DevOps or continuous delivery,true,2,5.0000,2,5.0000,2,5.0000,2,5.0000,2,5.0000,2,4.5000,2,5.0000,6,4.5000,6,4.3333,6,4.1667,7,4.9286,4.5000,4.3333,4.1667
SYN_ANALYSIS_P060,SYN_ANALYSIS_ORG_08,Information security,More than 10 years,50 to 249,Hybrid,true,2,4.5000,2,4.0000,2,4.5000,2,4.5000,2,4.0000,2,4.0000,2,4.0000,6,4.0000,6,3.8333,6,4.1667,7,4.2143,4.0000,3.8333,4.1667
SYN_ANALYSIS_P061,SYN_ANALYSIS_ORG_08,Software development,Less than 2 years,50 to 249,Agile,true,2,3.0000,2,2.0000,2,2.5000,2,3.5000,2,3.5000,2,3.0000,2,3.5000,6,2.5000,6,3.0000,6,3.0000,7,3.0000,2.5000,3.0000,3.0000
SYN_ANALYSIS_P062,SYN_ANALYSIS_ORG_08,Technical leadership,2 to 5 years,50 to 249,DevOps or continuous delivery,true,2,4.5000,2,4.0000,2,4.5000,2,5.0000,2,4.5000,2,4.5000,2,4.5000,6,4.1667,6,3.6667,6,4.1667,7,4.5000,4.1667,3.6667,4.1667
SYN_ANALYSIS_P063,SYN_ANALYSIS_ORG_08,DevOps or platform,6 to 10 years,50 to 249,Hybrid,true,2,3.5000,2,3.5000,2,4.0000,2,2.5000,2,4.0000,2,3.5000,2,4.0000,6,3.1667,6,2.3333,6,2.8333,7,3.5714,3.1667,2.3333,2.8333
SYN_ANALYSIS_P064,SYN_ANALYSIS_ORG_08,Quality or testing,More than 10 years,50 to 249,Agile,true,2,4.5000,2,4.0000,2,3.5000,2,4.5000,2,4.0000,2,3.0000,2,4.0000,6,3.8333,6,4.0000,6,3.6667,7,3.9286,3.8333,4.0000,3.6667
